Start,End,Label
0,17000,strat with a mother monkey hugging a baby monkey
17000,32000,two monkeys watching from the gate
32000,42000,two men are chatting
42000,57000,two men exchanging money
57000,120000,a baby monkey with some monkeys
120000,149000,a man throws a rope then the monkey climb up the tree
149000,183000,some coconuts fall down from the tree with the monkey's help
183000,205000,the monkey help to put the coconuts on the cart
205000,221000,the man pull some coconut juice to the monkey
221000,263000,two monkey are playing and finding something among the trash
263000,320000,many monkeys come to find foods among the trash also
320000,331000,there's a worm
