Start,End,Label
0,19000,Bedtime chaos
19000,46000,Asking Gru for a bedtime story
46000,70000,"Opening a ""magical"" storybook"
70000,85000,Gru's resistance to the storybook
85000,166000,Gru telling the story to the girls earnestly while complaining and ranting
166000,211000,"The story ends, and Gru and the girls have different feelings"
211000,282000,"The Doctor comes to Gru, telling him not to indulge in warmth and forget the ""great cause"""
282000,300000,Minions laughing hysterically for no reason
300000,355000,Gru and the girls' happy time is interrupted by an unexpected knock on the door
355000,404000,Gru sending the girls away
404000,437000,The different states of Gru and the girls after parting
437000,525000,"Before the rocket launch, Minions give Gru tickets to the girls' dance performance"
525000,562000,"The rocket launch shocks the neighbors, and a strange person tries to hitch a ride?"
562000,577000,The person trying to hitch a ride gets shocked and flies away
