Start,End,Label
0,26000,Playing around before bedtime
26000,46000,Begging Gru to tell the children a story
46000,168000,Gru telling a story
168000,195000,Asking Gru for a bedtime kiss
195000,275000,Talking with the Doctor to postpone the moon-stealing operation
275000,301000,Minions photocopying their butts
301000,322000,Gru playing house with the little girls
322000,355000,Someone knocking on the door to take the girls back
355000,383000,The girls getting into the car to go elsewhere
383000,408000,Gru being very sad after the girls left
408000,439000,Gru feeling heartbroken seeing the girls' shadows vanish from the house
439000,525000,Gru preparing for the moon landing plan
525000,556000,A guy wanting to go to space with Gru
556000,575000,The guy trying to go to space being repelled by Gru
575000,599000,The guy flying on his own and crashing into a utility pole; Gru reaching space
